"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",228,-81.9944652421255,167.988930484251,168.029064263515,1,0.00109974093910097,0.000319424069190338,1,2,NA,NA,NA,-72.7592565043361,161.518513008672,162.009980585464,2,0.0183620508660155,0.00644744323168531,2.06115362243856e-09,0.000705905209526425,0.000207806446652251,2.06115362243856e-09,2.06115362243856e-09,0.0047076743225497,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",364,-80.1648347036216,164.329669407243,164.369803186507,1,0.00113395767254675,0.000328807470953875,1,2,NA,NA,NA,-70.4948388867875,156.989677773575,157.481145350367,2,0.0196591217543298,0.00728277990514297,2.06115362243856e-09,0.000732566815397635,0.000135633818804012,2.06115362243856e-09,2.06115362243856e-09,0.00494344554908568,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1260,-80.8624635212504,165.724927042501,165.765060821765,1,0.00120480199247953,0.000331950412948807,1,2,NA,NA,NA,-70.6269739303961,157.253947860792,157.745415437584,2,0.0255008279788933,0.00770346370012311,2.06115362243856e-09,0.000739798751300179,0.00015884736230793,2.06115362243856e-09,2.06115362243856e-09,0.00520386347092276,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1599,-81.5290634151366,167.058126830273,167.098260609537,1,0.0011164022667074,0.000338980975724026,1,2,NA,NA,NA,-70.1779811474579,156.355962294916,156.847429871708,2,0.0242404681757544,0.00676830590568942,2.06115362243856e-09,0.000649259289995948,1.48702935336288e-06,2.06115362243856e-09,2.06115362243856e-09,0.00439874862037088,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",2030,-79.8622966630894,163.724593326179,163.764727105443,1,0.001142648583856,0.000343580584334556,1,2,NA,NA,NA,-69.6364293623046,155.272858724609,155.764326301401,2,0.000439243956091903,0.0133648998893855,2.06115362243856e-09,0.00845314660310442,2.06115362243856e-09,0.0112016490322099,2.06115362243856e-09,0.00773455481371647,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",2701,-81.8131886996413,167.626377399283,167.666511178547,1,0.00112474651022674,0.00032920368034164,1,2,NA,NA,NA,-70.0448224547258,156.089644909452,156.581112486243,2,0.0223870258858055,0.00694698374162019,2.06115362243856e-09,0.000624084677260393,4.01687780314914e-05,2.06115362243856e-09,2.06115362243856e-09,0.00448627311695009,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2791,-80.504479734122,165.008959468244,165.049093247508,1,0.000961059500457436,0.000301214521010212,1,2,NA,NA,NA,-70.154062992174,156.308125984348,156.79959356114,2,0.0235219567992667,0.00669416395581077,2.06115362243856e-09,0.000550922451409862,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00400169343900068,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",3637,-81.127029260201,166.254058520402,166.294192299666,1,0.00112145263728267,0.000353917547776233,1,2,NA,NA,NA,-70.3413630646062,156.682726129212,157.174193706004,2,0.0244340082783505,0.00606650096132019,2.06115362243856e-09,0.000627440473711729,0.000174597044302706,2.06115362243856e-09,2.06115362243856e-09,0.004267244010448,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",3914,-78.5827126975017,161.165425395003,161.205559174268,1,0.000627577696109675,0.000576239722522485,1,2,NA,NA,NA,-68.495363817623,152.990727635246,153.482195212038,2,0.0277602000970526,0.00617933132334704,2.06115362243856e-09,0.000748458973394106,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00370586466783165,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",4199,-82.5810148598707,169.162029719741,169.202163499006,1,0.00109299399772595,0.000319233564567384,1,2,NA,NA,NA,-70.9221795856776,157.844359171355,158.335826748147,2,0.000435002634728181,0.0186250796627912,2.06115362243856e-09,0.00573901023442885,2.06115362243856e-09,0.0106065480457085,2.06115362243856e-09,0.00560384967250481,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
