"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",228,-74.5505204294106,153.101040858821,153.141174638085,1,0.000736747097511906,0.000455423903727346,1,2,NA,NA,NA,-68.2138165339677,152.427633067935,152.919100644727,2,2.06115362243856e-09,0.0059306104369454,2.06115362243856e-09,0.00782952032798878,0.000137290985906195,0.00276686527558838,2.06115362243856e-09,0.00277396477063221,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",364,-75.6102781823624,155.220556364725,155.260690143989,1,0.000822925253953229,0.000461195372146449,1,2,NA,NA,NA,-67.1693107360202,150.33862147204,150.830089048832,2,2.06115362243856e-09,2.04962020299802,2.06115362243856e-09,0.00201395803238518,2.06115362243856e-09,0.460257437098819,0.0014558114277397,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1260,-75.9355506756307,155.871101351261,155.911235130526,1,0.000917866818849113,0.000449713006568155,1,2,NA,NA,NA,-67.7801927340535,151.560385468107,152.051853044899,2,0.000662734329560378,0.0169069197272057,2.06115362243856e-09,0.00461471608780067,2.06117296713375e-09,0.0157909475541227,2.06115362243856e-09,0.010901607901644,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1599,-74.7590984202051,153.51819684041,153.558330619675,1,0.000750847370075048,0.000460815445131519,1,2,NA,NA,NA,-66.6374474965959,149.274894993192,149.766362569984,2,2.64759510424326e-05,2.07464969698983,2.06115362243856e-09,0.0023261302029172,2.06115362243856e-09,0.440209169355213,0.00123206100155946,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",2030,-74.1761353568052,152.35227071361,152.392404492875,1,0.000790503741344043,0.000493875416581345,1,2,NA,NA,NA,-67.151565508276,150.303131016552,150.794598593344,2,0.000604835647374289,0.0142921128924375,2.06115362243856e-09,0.00401038277849355,2.06115362243856e-09,0.010934398808239,2.06115362243856e-09,0.00653763576969457,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",2701,-74.7459107333494,153.491821466699,153.531955245963,1,0.000740425569156642,0.000454704016106659,1,2,NA,NA,NA,-67.4278963023149,150.85579260463,151.347260181422,2,0.0242275183918186,0.00669332293208044,2.06115362243856e-09,0.000882285673958505,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00314670558028066,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2791,-74.0520787237045,152.104157447409,152.144291226673,1,0.000666736028886562,0.000425162916007679,1,2,NA,NA,NA,-67.2657007872713,150.531401574543,151.022869151335,2,0.000556084950377391,0.0138095855550844,2.06115362243856e-09,0.00471185250350914,2.06115362243856e-09,0.0149116395404227,2.06115362243856e-09,0.00965461711698267,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",3637,-75.203485804018,154.406971608036,154.4471053873,1,0.000729444636324197,0.000469568400527897,1,2,NA,NA,NA,-67.3754398554314,150.750879710863,151.242347287655,2,0.000529032726945663,0.0119052928395685,2.06115362243856e-09,0.00513500779324055,2.06115362243856e-09,0.0128846494009572,2.06115362243856e-09,0.00731471187554767,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",3914,-73.2592977454416,150.518595490883,150.558729270147,1,0.000730571042437499,0.000395397285863374,1,2,NA,NA,NA,-66.3789796646445,148.757959329289,149.249426906081,2,0.0307063166042985,0.00657956138787525,2.06115362243856e-09,0.000899583329179539,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00269529104976596,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",4199,-76.2351826116171,156.470365223234,156.510499002498,1,0.000758460451146662,0.000466633653432444,1,2,NA,NA,NA,-67.7933288243132,151.586657648626,152.078125225418,2,2.06115362243856e-09,2.1718559031101,2.06115362243856e-09,0.00168323236632112,2.06115362243856e-09,0.433616319689106,0.00128387602553495,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
