"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",153,-84.1300534492785,172.260106898557,172.300240677821,1,0.00103708729627537,0.000401502404691101,1,2,NA,NA,NA,-76.2583448068206,168.516689613641,169.008157190433,2,0.00839475393569388,0.00982356715836982,2.06115362243856e-09,0.00205042525204092,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00265858145404045,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",244,-83.3801859624804,170.760371924961,170.800505704225,1,0.00101340694025417,0.000423079395007809,1,2,NA,NA,NA,-76.0398006906056,168.079601381211,168.571068958003,2,0.00977955568311851,0.00861714074572088,2.06115362243856e-09,0.00195518966707869,0.0002128350432082,2.06115362243856e-09,2.06115362243856e-09,0.00278192287271112,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1165,-83.3102095801537,170.620419160307,170.660552939572,1,0.00107443714080676,0.000427086669476351,1,2,NA,NA,NA,-75.1630822844246,166.326164568849,166.817632145641,2,0.00739018713238326,0.00830642825963108,2.06115362243856e-09,0.00216363019234291,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00310984589893163,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1193,-82.9476373957583,169.895274791517,169.935408570781,1,0.00132387108991243,0.000356330647043639,1,2,NA,NA,NA,-76.3294844939039,168.658968987808,169.1504365646,2,0.00969577200906959,0.00777712738897062,2.06115362243856e-09,0.00239257216722761,6.96209064406578e-05,2.06115362243856e-09,2.06115362243856e-09,0.00276754636029549,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",1423,-83.4988147477288,170.997629495458,171.037763274722,1,0.00105465196045511,0.000420729945180695,1,2,NA,NA,NA,-75.572367984234,167.144735968468,167.63620354526,2,0.00899697425478994,0.00946378054490365,2.06115362243856e-09,0.00215938736324834,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00307181522540692,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",1770,-83.4469848798683,170.893969759737,170.934103539001,1,0.00109814621593825,0.000396302520507895,1,2,NA,NA,NA,-75.4910498485346,166.982099697069,167.473567273861,2,0.00797704170322903,0.0101299447709546,2.06115362243856e-09,0.00225438923832382,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00328147151726956,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2206,-82.9169333680566,169.833866736113,169.874000515377,1,0.00103621184869968,0.000450052002576982,1,2,NA,NA,NA,-75.665681726815,167.33136345363,167.822831030422,2,0.00908187428517897,0.00850142439129709,2.06115362243856e-09,0.00224260107974871,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00321771552020203,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",2451,-84.3310845550137,172.662169110027,172.702302889292,1,0.00100412282818141,0.00044954471050111,1,2,NA,NA,NA,-76.835217126423,169.670434252846,170.161901829638,2,2.06115362243856e-09,0.0107810061702185,2.06115362243856e-09,0.00729126569946721,2.06115362243856e-09,0.0322116972096915,0.00156341937834942,0.00954361672331727,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",2635,-84.6690991593842,173.338198318768,173.378332098033,1,0.00119942499553285,0.000392125508460236,1,2,NA,NA,NA,-76.9204581368498,169.8409162737,170.332383850491,2,0.00930035503897811,0.00816118801358882,2.06115362243856e-09,0.00239126046788048,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00256299242519469,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",3493,-81.4157999994338,166.831599998868,166.871733778132,1,0.000882206176009339,0.000377886641716387,1,2,NA,NA,NA,-73.8536689226227,163.707337845245,164.198805422037,2,0.00703043212128054,0.011764855881768,2.06115362243856e-09,0.00191173193857448,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00385948910264535,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
