"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",153,-76.1859317525723,156.371863505145,156.411997284409,1,0.000706803486103292,0.000440593675184472,1,2,NA,NA,NA,-67.9115842510295,151.823168502059,152.314636078851,2,0.000524387531943643,0.0126741789596543,2.06115362243856e-09,0.00508863821975877,2.06115362243856e-09,0.0156382408459939,2.06115362243856e-09,0.00847459747958411,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",244,-74.077818529413,152.155637058826,152.19577083809,1,0.000741667347981311,0.000452815239976819,1,2,NA,NA,NA,-67.4686689054942,150.937337810988,151.42880538778,2,0.0224053607835105,0.00636211771631811,2.06115362243856e-09,0.000935040990088453,9.70731247756364e-05,2.06115362243856e-09,2.06115362243856e-09,0.00291396458266406,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1165,-74.0377710543867,152.075542108773,152.115675888038,1,0.000825326842903238,0.000435173702661784,1,2,NA,NA,NA,-66.990468639876,149.980937279752,150.472404856544,2,0.000672194656706429,0.0157276125890379,2.06115362243856e-09,0.00413651460581971,2.06115362243856e-09,0.0157502512733069,2.06115362243856e-09,0.0105554040677535,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1193,-73.6735093473196,151.347018694639,151.387152473903,1,0.000846962489026597,0.000451675004093103,1,2,NA,NA,NA,-67.1739364229529,150.347872845906,150.839340422698,2,0.000713486149042839,0.0142965652570445,2.06115362243856e-09,0.00476117950597738,2.06115362243856e-09,0.0297463092897759,2.06115362243856e-09,0.0231222324034021,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",1423,-76.6811937735298,157.36238754706,157.402521326324,1,0.000829621867784247,0.000441891617685473,1,2,NA,NA,NA,-68.8613140460121,153.722628092024,154.214095668816,2,0.000578370927448926,0.0118249969215679,2.06115362243856e-09,0.0058854446814649,2.06115362243856e-09,0.0151432312685848,2.06115362243856e-09,0.00799029824328741,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",1770,-74.3249111661898,152.64982233238,152.689956111644,1,0.000753224677504824,0.000431649332266102,1,2,NA,NA,NA,-67.2226511904917,150.445302380983,150.936769957775,2,0.000601685896795273,0.0115999890038674,2.06115362243856e-09,0.00536779030821429,2.06115362243856e-09,0.014454097692809,2.06115362243856e-09,0.00767620826591455,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2206,-74.5081970198783,153.016394039757,153.056527819021,1,0.000822440552956289,0.000468898749829324,1,2,NA,NA,NA,-66.9167722751323,149.833544550265,150.325012127056,2,2.06115362243856e-09,8.73825664030748,2.06115362243856e-09,0.00221040590680049,2.06115362243856e-09,0.118167152326479,0.00147729597071261,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",2451,-75.6596170246054,155.319234049211,155.359367828475,1,0.000808815722396457,0.000448928774923229,1,2,NA,NA,NA,-69.0150073955176,154.030014791035,154.521482367827,2,0.0249471802969628,0.00613161702442585,2.06115362243856e-09,0.000978178171919837,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00304547405887775,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",2635,-74.9963058511529,153.992611702306,154.03274548157,1,0.000807757582996541,0.00044280646044101,1,2,NA,NA,NA,-67.8976828017637,151.795365603527,152.286833180319,2,0.0259577106219631,0.00624717874501011,2.06115362243856e-09,0.000910522696033334,2.05826966359546e-05,2.06115362243856e-09,2.06115362243856e-09,0.00310135373455095,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",3493,-74.0264387052327,152.052877410465,152.09301118973,1,0.000610439623989505,0.000393367603619756,1,2,NA,NA,NA,-66.0394818218656,148.078963643731,148.570431220523,2,0.000472323856571606,0.0117751619732876,2.06115362243856e-09,0.00378139968344286,2.06115362243856e-09,0.00929690976341667,2.06115362243856e-09,0.00573553809554597,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
