"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",228,-80.7411954201184,165.482390840237,165.522524619501,1,0.00130080164667759,0.000236248316655438,1,2,NA,NA,NA,-70.7180681185629,157.436136237126,157.927603813918,2,2.06115362243856e-09,0.00636059002597106,2.06115362243856e-09,0.0112188428580244,0.000326048250984546,0.00349354072646869,2.06115362243856e-09,0.00494468448250232,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",364,-78.4799523246216,160.959904649243,161.000038428507,1,0.00142612403596955,0.000218110647385634,1,2,NA,NA,NA,-69.9048036696824,155.809607339365,156.301074916157,2,0.000482554007928539,0.0127638369716559,2.06115362243856e-09,0.00461967543600816,2.06115362243856e-09,0.00742428517652705,2.06115362243856e-09,0.00243645985060523,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1260,-78.3166587149043,160.633317429809,160.673451209073,1,0.0015067742657195,0.000226283370357373,1,2,NA,NA,NA,-69.2411829621424,154.482365924285,154.973833501077,2,2.06115362243856e-09,0.00701846819324032,2.06115362243856e-09,0.0103671414565848,0.000346668474434969,0.00332470834260274,2.06115362243856e-09,0.00554154574862741,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1599,-79.0442467997642,162.088493599528,162.128627378793,1,0.00131745360036117,0.000237322477087,1,2,NA,NA,NA,-69.9187446448246,155.837489289649,156.328956866441,2,0.000459309119956359,0.014881982398953,2.06115362243856e-09,0.00553763069624413,2.06115362243856e-09,0.00899892745463871,2.06115362243856e-09,0.0035434361938202,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",2030,-78.0464743502366,160.092948700473,160.133082479737,1,0.00139430483530964,0.000252678060425372,1,2,NA,NA,NA,-69.7068906019222,155.413781203844,155.905248780636,2,0.000498373545201415,0.0129865747424615,2.06115362243856e-09,0.00447861427528895,2.06115362243856e-09,0.0076887939635063,2.06115362243856e-09,0.00306401192137306,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",2701,-79.9026432692046,163.805286538409,163.845420317673,1,0.00138409377352566,0.000234058645732024,1,2,NA,NA,NA,-69.8375089235065,155.675017847013,156.166485423805,2,2.06115362243856e-09,0.007438923790301,2.06115362243856e-09,0.00857306345203617,0.000271577506758509,0.00253328741991424,2.06115362243856e-09,0.0048513657077962,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2791,-80.0433508933758,164.086701786752,164.126835566016,1,0.00121639214473531,0.000218649180030226,1,2,NA,NA,NA,-69.582271286321,155.164542572642,155.656010149434,2,0.000412084508025587,0.0137125856575331,2.06115362243856e-09,0.00471728555594031,2.06115362243856e-09,0.00825339688471871,2.06115362243856e-09,0.00315687820549448,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",3637,-78.8762779430331,161.752555886066,161.79268966533,1,0.00135029978069571,0.000239528102442721,1,2,NA,NA,NA,-69.8337555637864,155.667511127573,156.158978704365,2,2.06115362243856e-09,0.0065012957785627,2.06115362243856e-09,0.00963865699949497,0.000370545425109855,0.00279709139808507,2.06115362243856e-09,0.00504436430897356,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",3914,-78.6965066768077,161.393013353615,161.43314713288,1,0.000539581906997784,0.000558995054764245,1,2,NA,NA,NA,-68.4594055191864,152.918811038373,153.410278615165,2,2.06115362243856e-09,0.00643255727100835,2.06115362243856e-09,0.00692345092779092,0.000223880843992404,0.00214704809442859,2.06115362243856e-09,0.00409020937355538,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",4199,-79.6572166005533,163.314433201107,163.354566980371,1,0.00136381222432061,0.0002173450840744,1,2,NA,NA,NA,-70.4233107917619,156.846621583524,157.338089160316,2,0.000454315299126169,0.0131957856123257,2.06115362243856e-09,0.00455872737463056,2.06115362243856e-09,0.00846732886583879,2.06115362243856e-09,0.00309631485000104,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
