"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",228,-86.5111952163128,177.022390432626,177.06252421189,1,0.00140320450019279,0.000213596693743296,1,2,NA,NA,NA,-75.532159756253,167.064319512506,167.555787089298,2,2.06115362243856e-09,0.00778720600289775,2.06115362243856e-09,0.00526190957785402,0.000192941601309527,0.00233378897407251,2.06115362243856e-09,0.00585476437866529,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",364,-84.759369173065,173.51873834613,173.558872125394,1,0.00153134462857403,0.000206287390736881,1,2,NA,NA,NA,-75.3852419856366,166.770483971273,167.261951548065,2,0.00064895721401151,0.0179682273478564,2.06115362243856e-09,0.00606410970092505,2.06115362243856e-09,0.00972385046529882,2.06115362243856e-09,0.00578566758226393,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1260,-84.1191521850748,172.23830437015,172.278438149414,1,0.00162783163086309,0.000198015889503198,1,2,NA,NA,NA,-74.7376634196763,165.475326839353,165.966794416144,2,2.06115362243856e-09,0.00938076554079723,2.06115362243856e-09,0.00508264569590035,0.000184682507260206,0.00278231661495594,2.06115362243856e-09,0.00708573991096392,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1599,-84.4320298732236,172.864059746447,172.904193525711,1,0.00147782649364644,0.000205350807841461,1,2,NA,NA,NA,-74.1757817509054,164.351563501811,164.843031078603,2,0.000615402778290995,0.0185998732611654,2.06115362243856e-09,0.00624801234737967,2.06115362243856e-09,0.0113312273730722,2.06115362243856e-09,0.00779425301338633,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",2030,-83.5676258094839,171.135251618968,171.175385398232,1,0.00155895478169566,0.000230090465674739,1,2,NA,NA,NA,-73.3248563135876,162.649712627175,163.141180203967,2,0.000632626751319436,0.0175037228771765,2.06115362243856e-09,0.00482334848434466,2.06115362243856e-09,0.00944447722631115,2.06115362243856e-09,0.00581105294151274,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",2701,-84.6821587952735,173.364317590547,173.404451369811,1,0.00155415973858856,0.000196548007906696,1,2,NA,NA,NA,-74.6656809211518,165.331361842304,165.822829419095,2,2.06115362243856e-09,0.00829112509669347,2.06115362243856e-09,0.00371897095681526,0.000120811998713457,0.00195429033854241,2.06115362243856e-09,0.00502733779737524,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2791,-84.2939562068892,172.587912413778,172.628046193043,1,0.00133816350201566,0.00018383409726359,1,2,NA,NA,NA,-74.5057791717137,165.011558343427,165.503025920219,2,2.06115362243856e-09,0.00837726807532205,2.06115362243856e-09,0.00249568685439741,5.83204280424964e-05,0.00137576404091066,2.06115362243856e-09,0.00488725538238513,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",3637,-85.4193132033318,174.838626406664,174.878760185928,1,0.00152590904094717,0.000203471204769865,1,2,NA,NA,NA,-75.2512405457853,166.502481091571,166.993948668362,2,2.06346813157885e-09,0.00783024958501632,2.06115362243856e-09,0.00441625346515603,0.000193141155226729,0.00211652243171143,2.06115362243856e-09,0.00557699888619712,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",3914,-82.3245864559902,168.64917291198,168.689306691245,1,0.001418759870797,0.000179455218222013,1,2,NA,NA,NA,-73.2574173044844,162.514834608969,163.006302185761,2,2.06115362243856e-09,0.00744686604062896,2.06115362243856e-09,0.00319038080496396,0.000108151255884066,0.00173917725655467,2.06115362243856e-09,0.00454192333455071,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",4199,-85.5456582687976,175.091316537595,175.131450316859,1,0.00154569081986508,0.000194475076438768,1,2,NA,NA,NA,-74.9589172997914,165.917834599583,166.409302176375,2,0.000607437295688962,0.0174822094984951,2.06115362243856e-09,0.00534014656840109,2.06115362243856e-09,0.0104450721475416,2.06115362243856e-09,0.00693377432413038,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
