"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",228,-86.7089430360733,177.417886072147,177.458019851411,1,0.00164467835898837,0.000103571962130258,1,2,NA,NA,NA,-76.3583683208682,168.716736641736,169.208204218528,2,2.06115362243856e-09,0.00740800213599556,2.06115362243856e-09,0.0112291813047805,0.000242812827429963,0.00620739842504419,2.06115362243856e-09,0.00841710460753014,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",364,-83.9899446925557,171.979889385111,172.020023164376,1,0.00168549853231416,0.000105436199371612,1,2,NA,NA,NA,-74.5185327510225,165.037065502045,165.528533078837,2,2.06115362243856e-09,0.00730504068020769,2.06115362243856e-09,0.0122314033439967,0.000243993917571733,0.00593578506508198,2.06115362243856e-09,0.0092333544755302,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1260,-83.3876138429269,170.775227685854,170.815361465118,1,0.00181489250801119,0.000110581111211068,1,2,NA,NA,NA,-74.3834744698088,164.766948939618,165.258416516409,2,2.06115362243856e-09,0.00759643589349935,2.06115362243856e-09,0.011366182320118,0.000248995961262069,0.00558244005974246,2.06115362243856e-09,0.00935482682744905,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1599,-84.7073691075889,173.414738215178,173.454871994442,1,0.00163358117440269,0.000106175422931678,1,2,NA,NA,NA,-74.4467435016685,164.893487003337,165.384954580129,2,2.06115362243856e-09,0.0228168986372666,2.06115362243856e-09,0.00587458721793142,2.06115362243856e-09,0.00897438151832164,0.00103721336854167,0.00581025752309337,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",2030,-83.7636469200513,171.527293840103,171.567427619367,1,0.00169239519211098,0.000112447531235219,1,2,NA,NA,NA,-73.7113299520568,163.422659904114,163.914127480905,2,2.06115362243856e-09,0.00771454719387595,2.06115362243856e-09,0.0120950575808785,0.000256110537457143,0.00695304670378288,2.06115362243856e-09,0.00937729791651574,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",2701,-85.2712811982279,174.542562396456,174.58269617572,1,0.00167196911749321,0.000104417693250268,1,2,NA,NA,NA,-74.5488577861018,165.097715572204,165.589183148996,2,2.06115362243856e-09,0.00735313893159849,2.06115362243856e-09,0.0111866931057073,0.000210873948448756,0.0038125674224002,2.06115362243856e-09,0.00765718240733482,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2791,-85.0523404291288,174.104680858258,174.144814637522,1,0.00149017114399718,9.58254620339322e-05,1,2,NA,NA,NA,-74.0415947384014,164.083189476803,164.574657053595,2,2.06115362243856e-09,0.0222865623448042,2.06115362243856e-09,0.00529636579266986,2.06115362243856e-09,0.00775483653933342,0.000935746523703981,0.00489606722671567,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",3637,-84.1407721487009,172.281544297402,172.321678076666,1,0.00167340613023029,0.000112103203442841,1,2,NA,NA,NA,-74.043438466429,164.086876932858,164.57834450965,2,2.06115362243856e-09,0.00665643072512151,2.06115362243856e-09,0.0122714073052442,0.000280777935419391,0.00560127312758442,2.06115362243856e-09,0.00811644698899433,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",3914,-82.4269439845447,168.853887969089,168.894021748354,1,0.00171020498066347,9.65751991986044e-05,1,2,NA,NA,NA,-73.3373654413381,162.674730882676,163.166198459468,2,2.06115362243856e-09,0.006842273834386,2.06115362243856e-09,0.00959025431226659,0.000185993057954253,0.00451302118899236,2.06115362243856e-09,0.00698752088414397,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",4199,-84.7639315877671,173.527863175534,173.567996954798,1,0.00165470251474698,0.000101602126646614,1,2,NA,NA,NA,-74.7090661086338,165.418132217268,165.909599794059,2,2.06115362243856e-09,0.00795921743224911,2.06115362243856e-09,0.0113219702666725,0.000217290610909248,0.00586726044572151,2.06115362243856e-09,0.00990339038599767,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"11",4384,-84.3861915717135,172.772383143427,172.812516922691,1,0.00169760133425999,0.000101911807420773,1,2,NA,NA,NA,-74.9416212865444,165.883242573089,166.374710149881,2,0.000485599487239026,0.0204489745559251,2.06115362243856e-09,0.0052268604165566,2.06115362243856e-09,0.00802708971664017,2.06115362243856e-09,0.00370452705525626,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"12",5042,-84.3725823041161,172.745164608232,172.785298387496,1,0.00141435997108976,9.42280331369409e-05,1,2,NA,NA,NA,-73.7165159144239,163.433031828848,163.92449940564,2,2.06115362243856e-09,0.0210239022606616,2.06115362243856e-09,0.00525543130555332,2.06115362243856e-09,0.00765158523283625,0.00092184225749479,0.0051658450501606,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"13",5097,-82.3284605825081,168.656921165016,168.69705494428,1,0.00179967346247956,0.000114879016745972,1,2,NA,NA,NA,-73.1804316066088,162.360863213218,162.852330790009,2,2.06205526667677e-09,0.00764417904853758,2.06115362243856e-09,0.0141660335240352,0.000265874597440121,0.006829286269828,2.06115362243856e-09,0.00993925508204715,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"14",5143,-82.0905400379422,168.181080075884,168.221213855149,1,0.00202866631737852,0.000121992825795152,1,2,NA,NA,NA,-74.2880386092327,164.576077218465,165.067544795257,2,2.06115362243856e-09,0.00732905992754023,2.06115362243856e-09,0.0130063337174787,0.000309997628285718,0.00495601432594868,2.06115362243856e-09,0.00789583751465238,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"15",5220,-82.5235589724059,169.047117944812,169.087251724076,1,0.00165333938382571,9.90187705068649e-05,1,2,NA,NA,NA,-74.6041714604427,165.208342920885,165.699810497677,2,0.000562418999780046,0.0175988329744858,2.06115362243856e-09,0.00421041410008766,2.06115362243856e-09,0.00694332838661821,2.06115362243856e-09,0.00465974820316636,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"16",5434,-85.038636661319,174.077273322638,174.117407101902,1,0.00146369182720777,9.99362661223605e-05,1,2,NA,NA,NA,-73.8216915509652,163.64338310193,164.134850678722,2,2.06115362243856e-09,0.00750986725527466,2.06115362243856e-09,0.0115327539494828,0.000208412089185553,0.00496424970776554,2.06115362243856e-09,0.00823747206475712,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"17",5488,-83.1656405360477,170.331281072095,170.37141485136,1,0.00169104422313376,0.000112348151753163,1,2,NA,NA,NA,-73.6133910529576,163.226782105915,163.718249682707,2,2.06115362243856e-09,0.00737370099968775,2.06115362243856e-09,0.0111859278615937,0.000257206606753348,0.00428920484152913,2.06115362243856e-09,0.00836908517082771,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"18",5568,-84.9915032760605,173.983006552121,174.023140331385,1,0.00159315837934715,0.000100236610433957,1,2,NA,NA,NA,-74.914233032552,165.828466065104,166.319933641896,2,2.06115362243856e-09,0.0201460988676343,2.06115362243856e-09,0.00526163298767739,2.06115362243856e-09,0.00804026843011839,0.00107474451920827,0.00455512833500505,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"19",6492,-82.861187867108,169.722375734216,169.76250951348,1,0.00164141985782075,0.000105006783856295,1,2,NA,NA,NA,-73.6644204289199,163.32884085784,163.820308434632,2,2.06115362243856e-09,0.0201618489469046,2.06115362243856e-09,0.00553341748019278,2.06115362243856e-09,0.00804621321018761,0.00119170542085845,0.00472305673300462,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"20",7158,-84.4768716285505,172.953743257101,172.993877036365,1,0.00167520293630233,0.000107325926049739,1,2,NA,NA,NA,-74.1404489113578,164.280897822716,164.772365399507,2,2.06115362243856e-09,0.0222196332203075,2.06115362243856e-09,0.00553331971600391,2.06115362243856e-09,0.00850330652488975,0.000947660798023556,0.00591771233036361,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"21",7434,-84.9611353481848,173.92227069637,173.962404475634,1,0.00170476117843255,0.000110783198500606,1,2,NA,NA,NA,-73.7578882800939,163.515776560188,164.00724413698,2,2.06115362243856e-09,0.00775826399306253,2.06115362243856e-09,0.0146028813707452,0.000252517643760406,0.00850334485464978,2.06115362243856e-09,0.0100949902693453,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"22",7438,-85.0572527226552,174.11450544531,174.154639224575,1,0.00155244729664491,9.62191146957226e-05,1,2,NA,NA,NA,-73.5931586383309,163.186317276662,163.677784853454,2,2.06115362243856e-09,0.00694682538111873,2.06115362243856e-09,0.0116388503759824,0.000210678314235899,0.00638424624686563,2.06115362243856e-09,0.00804588608635074,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"23",7830,-84.6661830704925,173.332366140985,173.372499920249,1,0.00174265059769064,0.000108799883947008,1,2,NA,NA,NA,-74.522422406068,165.044844812136,165.536312388928,2,2.06115362243856e-09,0.00750904632775186,2.06115362243856e-09,0.0113286222223306,0.000220425486244153,0.00525177117453955,2.06115362243856e-09,0.00852329748849195,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
