"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",228,-79.7256185407721,163.451237081544,163.491370860808,1,0.000887920129317532,0.000414470520461044,1,2,NA,NA,NA,-73.039665349358,162.079330698716,162.570798275508,2,0.000434976391559356,0.0086742459747872,2.06115362243856e-09,0.0146570171463856,0.000366743620880023,0.00958174122792621,2.06115362243856e-09,0.00361683459891685,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",364,-79.176990890599,162.353981781198,162.394115560462,1,0.00115944835524331,0.000304898317345563,1,2,NA,NA,NA,-72.2742665897042,160.548533179408,161.0400007562,2,0.000503066068830366,0.0121080787315153,2.06115362243856e-09,0.00719159170834599,2.06115362243856e-09,0.00659345168059933,2.06115362243856e-09,0.00307741038404679,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1260,-78.05454201982,160.10908403964,160.149217818904,1,0.001300627236783,0.000290889339151676,1,2,NA,NA,NA,-70.4352350599803,156.870470119961,157.361937696752,2,0.000467471723793458,0.0124854849267229,2.06115362243856e-09,0.00751949174300211,2.06115362243856e-09,0.00864571548557785,2.06115362243856e-09,0.00330777431111744,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1599,-78.8929184388433,161.785836877687,161.825970656951,1,0.00101101840116421,0.000380697767392493,1,2,NA,NA,NA,-70.783163375252,157.566326750504,158.057794327296,2,0.00045012783916102,0.0113383924580773,2.06115362243856e-09,0.0103115936463321,2.06115362243856e-09,0.010937542854378,2.06115362243856e-09,0.0044915963943147,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",2030,-77.1249524631953,158.249904926391,158.290038705655,1,0.00109687107446466,0.000393758613657833,1,2,NA,NA,NA,-70.2342363099232,156.468472619846,156.959940196638,2,2.06115362243856e-09,0.00941121732230834,2.06115362243856e-09,0.00781412662498025,2.06115362243856e-09,0.00421716561777993,2.06115362243856e-09,0.00304335656509016,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",2701,-78.804818637755,161.60963727551,161.649771054774,1,0.000944160890355932,0.000420652625843898,1,2,NA,NA,NA,-70.1679404158368,156.335880831674,156.827348408465,2,0.0004357862442554,0.0122754635925515,2.06115362243856e-09,0.00858473626279217,2.06115362243856e-09,0.00965336269308917,2.06115362243856e-09,0.00419332971568668,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2791,-78.5000288968278,161.000057793656,161.04019157292,1,0.000598855371539982,0.000517173430758714,1,2,NA,NA,NA,-69.6425985399546,155.285197079909,155.776664656701,2,0.000396094652466163,0.0112212511754929,1.65149241580129e-06,0.00828965296507363,2.06115362243856e-09,0.00981544882096763,2.06115362243856e-09,0.00428134808159098,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",3637,-79.2230915069254,162.446183013851,162.486316793115,1,0.00105501509175918,0.000366647224657967,1,2,NA,NA,NA,-72.556753365326,161.113506730652,161.604974307444,2,0.000562391054946094,0.0101818677462418,2.06115362243856e-09,0.00521937699823594,2.06115362243856e-09,0.00662172864607686,2.06115362243856e-09,0.00299628193262725,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",3914,-78.7565809009916,161.513161801983,161.553295581247,1,0.000602276263972006,0.000531044762861662,1,2,NA,NA,NA,-69.6920550520605,155.384110104121,155.875577680913,2,0.000445518180291901,0.0121307045433183,8.56641878110321e-06,0.007204869870454,2.06115362243856e-09,0.0115277262238246,2.06115362243856e-09,0.00516217666938268,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",4199,-78.3605365355036,160.721073071007,160.761206850271,1,0.00120974738261124,0.00029540892526329,1,2,NA,NA,NA,-70.1236085656442,156.247217131288,156.73868470808,2,0.000411442652213491,0.0120174324012199,2.06115362243856e-09,0.00726980352371382,2.06115362243856e-09,0.00827440867146636,2.06115362243856e-09,0.00340962592872021,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"11",4384,-77.8771562466265,159.754312493253,159.794446272517,1,0.00129315058270915,0.000313003072070254,1,2,NA,NA,NA,-69.6065799120237,155.213159824047,155.704627400839,2,0.000482499568803382,0.0128219020619985,1.90651080448972e-05,0.00664989599035665,2.06115362243856e-09,0.00912338710311066,2.06115362243856e-09,0.00424959997032003,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"12",5042,-77.6421203104998,159.284240621,159.324374400264,1,0.000850181822706618,0.000350124965596031,1,2,NA,NA,NA,-69.9747663114475,155.949532622895,156.441000199687,2,0.000417655563100603,0.00984775527836971,2.06115362243856e-09,0.00978796321335068,2.06115362243856e-09,0.00792642679231522,2.06115362243856e-09,0.00352073358358107,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"13",5097,-77.1483794792879,158.296758958576,158.33689273784,1,0.00130114382657141,0.000315230603094644,1,2,NA,NA,NA,-70.4381629710557,156.876325942111,157.367793518903,2,0.000502439880135223,0.0108857469027701,2.06115362243856e-09,0.00838780227325708,2.06115362243856e-09,0.00819940811356954,2.06115362243856e-09,0.00300520072612558,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"14",5143,-79.1064715651106,162.212943130221,162.253076909485,1,0.00109488685516537,0.000465462430675313,1,2,NA,NA,NA,-72.0655238103051,160.13104762061,160.622515197402,2,0.00057729527188985,0.0108942559727258,2.06115362243856e-09,0.0246845712218081,0.000416831420079577,0.0153232547032985,2.06115362243856e-09,0.00502169571015685,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"15",5220,-76.4844699232767,156.968939846553,157.009073625818,1,0.00108657145034495,0.000348025912737247,1,2,NA,NA,NA,-69.9869946976171,155.973989395234,156.465456972026,2,0.000580222953160921,0.00922684706826423,2.06115362243856e-09,0.00706949886852009,2.06115362243856e-09,0.00603831448095091,2.06115362243856e-09,0.0032140688779611,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"16",5434,-78.1731399546187,160.346279909237,160.386413688502,1,0.00088066806365784,0.000381569659260452,1,2,NA,NA,NA,-70.4329834813132,156.865966962626,157.357434539418,2,0.000388925725137237,0.00996189705435748,2.06115362243856e-09,0.00891090807233426,2.06115362243856e-09,0.00850666862913615,2.06115362243856e-09,0.00340946268819382,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"17",5488,-77.6415353719452,159.28307074389,159.323204523155,1,0.00117347905040157,0.000358727220940373,1,2,NA,NA,NA,-70.8524399883287,157.704879976657,158.196347553449,2,0.000521428115763517,0.0100329363432817,2.06115362243856e-09,0.00852822587629024,2.06115362243856e-09,0.00758376530789103,2.06115362243856e-09,0.00350428311920499,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"18",5568,-77.7191752680805,159.438350536161,159.478484315425,1,0.000921498016668849,0.000411514293434633,1,2,NA,NA,NA,-70.7813260669672,157.562652133934,158.054119710726,2,0.000471111930071452,0.00849321469258799,2.06115362243856e-09,0.0129047360544878,2.06115362243856e-09,0.00817468355141763,2.06115362243856e-09,0.00315461698993865,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"19",6492,-76.5311403774275,157.062280754855,157.102414534119,1,0.00103037920803067,0.000370188431218872,1,2,NA,NA,NA,-69.740084255969,155.480168511938,155.97163608873,2,0.000508010338178461,0.0103270743457436,2.06115362243856e-09,0.00814586790054261,2.06115362243856e-09,0.00675232750337635,2.06115362243856e-09,0.00336259960649171,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"20",7158,-77.8562370874501,159.7124741749,159.752607954164,1,0.000978690583689153,0.000415330788511744,1,2,NA,NA,NA,-70.530850349502,157.061700699004,157.553168275796,2,0.000479596553720375,0.00983564016303842,2.06115362243856e-09,0.00948547501161828,2.06115362243856e-09,0.00855339899595055,2.06115362243856e-09,0.00377257028046879,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"21",7434,-80.4482985605048,164.89659712101,164.936730900274,1,0.00111391751915911,0.000315879844791957,1,2,NA,NA,NA,-73.0108539330545,162.021707866109,162.513175442901,2,0.000391371698158705,0.0122609069889907,2.06115362243856e-09,0.0083751703016491,0.00023342535552238,0.0081705177618136,2.06115362243856e-09,0.00327889723200883,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"22",7438,-79.9080785261516,163.816157052303,163.856290831567,1,0.000978689405866093,0.000313519379302205,1,2,NA,NA,NA,-72.2789926620527,160.557985324105,161.049452900897,2,0.000406264015054772,0.0109537122131631,2.06115362243856e-09,0.00701568231094312,2.06115362243856e-09,0.00684588507403587,2.06115362243856e-09,0.00316166291952965,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"23",7830,-80.037360670947,164.074721341894,164.114855121158,1,0.0011518548963088,0.000336741158195982,1,2,NA,NA,NA,-72.0508591405603,160.101718281121,160.593185857912,2,0.000438942839113823,0.0125178757357956,2.06115362243856e-09,0.00819342166107883,2.06115362243856e-09,0.00863848997664996,2.06115362243856e-09,0.0040543157489581,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"24",7928,-77.5216092934719,159.043218586944,159.083352366208,1,0.00128312919151845,0.000324416386589369,1,2,NA,NA,NA,-70.9472371645597,157.894474329119,158.385941905911,2,0.000542763142024686,0.0124021452602884,2.06115362243856e-09,0.00967464862086356,0.000364234219124933,0.00935158755481225,2.06115362243856e-09,0.00436545011357575,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"25",8222,-78.8339525295009,161.667905059002,161.708038838266,1,0.0012668548937481,0.000328898619372015,1,2,NA,NA,NA,-70.5270057172898,157.05401143458,157.545479011371,2,0.000456580819246006,0.0124014955306167,2.06115362243856e-09,0.00623719461207065,2.06115362243856e-09,0.00808134329635847,2.06115362243856e-09,0.00355192764255597,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
