"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",228,-84.8308297004354,173.661659400871,173.701793180135,1,0.000438576596157864,0.00064593564763637,1,2,NA,NA,NA,-73.768025853574,163.536051707148,164.02751928394,2,2.06115362243856e-09,0.00583476626981924,2.06115362243856e-09,0.0100778930410378,0.000301911210546813,0.00228711774400518,2.06115362243856e-09,0.00438186706790877,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",364,-82.9072251169915,169.814450233983,169.854584013247,1,0.00130090408803524,0.000334869298587108,1,2,NA,NA,NA,-71.554961629754,159.109923259508,159.6013908363,2,0.000395909630998191,0.0128318545137906,2.06115362243856e-09,0.00661586450039703,2.06115362243856e-09,0.0108887327643639,2.06115362243856e-09,0.00565470299560691,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1260,-82.4117823624945,168.823564724989,168.863698504253,1,0.00138092013867598,0.000330758612351021,1,2,NA,NA,NA,-71.1053561076838,158.210712215368,158.702179792159,2,0.000396916405699891,0.0131430359639735,2.06115362243856e-09,0.00646004662137355,2.06115362243856e-09,0.0117953226053033,2.06115362243856e-09,0.00519524310412997,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1599,-84.0053194912773,172.010638982555,172.050772761819,1,0.000379222843183992,0.000667292449485554,1,2,NA,NA,NA,-72.345142874449,160.690285748898,161.18175332569,2,0.000354943558674215,0.014231903255484,2.06115362243856e-09,0.00621823932107289,2.06115362243856e-09,0.0125825794001674,2.06115362243856e-09,0.00632444262642549,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",2030,-82.150248803703,168.300497607406,168.34063138667,1,0.00130077304594435,0.000361226414073247,1,2,NA,NA,NA,-70.9482130295958,157.896426059192,158.387893635984,2,0.000401085945814381,0.0125161535368381,2.06115362243856e-09,0.00600103642684817,2.06115362243856e-09,0.010409750564391,2.06115362243856e-09,0.00552638271001503,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",2701,-82.0601162671759,168.120232534352,168.160366313616,1,0.000409224353276928,0.000667866419924976,1,2,NA,NA,NA,-71.2665699294124,158.533139858825,159.024607435617,2,0.000372602127859356,0.0128212941372927,2.06115362243856e-09,0.00741444266170838,2.06115362243856e-09,0.0137924149671535,2.06115362243856e-09,0.00657462703184923,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2791,-82.4563788528208,168.912757705642,168.952891484906,1,0.00039051248002313,0.000589573888806301,1,2,NA,NA,NA,-72.2451305278772,160.490261055754,160.981728632546,2,0.000343453351028421,0.0130641679421144,2.06115362243856e-09,0.0055560237650562,2.06115362243856e-09,0.0112992577935554,2.06115362243856e-09,0.00559652982162454,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",3637,-81.54713213933,167.09426427866,167.134398057924,1,0.000380744661864934,0.000720551915062255,1,2,NA,NA,NA,-70.4710482707058,156.942096541412,157.433564118203,2,0.000349134801611106,0.010650297083931,2.06115362243856e-09,0.00642026792992614,2.06115362243856e-09,0.0102263020486805,2.06115362243856e-09,0.00467266926658447,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",3914,-79.7962837384417,163.592567476883,163.632701256148,1,0.000387977687962,0.000609657161820166,1,2,NA,NA,NA,-69.7384435050606,155.476887010121,155.968354586913,2,0.0278030576092395,0.00592429653081736,2.06115362243856e-09,0.000524264303668513,0.000131632350138157,2.06115362243856e-09,2.06115362243856e-09,0.00340288980566151,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",4199,-83.3257692596317,170.651538519263,170.691672298528,1,0.00125856882820933,0.000327992621038831,1,2,NA,NA,NA,-71.3249972967095,158.649994593419,159.141462170211,2,0.000361161014124427,0.012082361319562,2.06115362243856e-09,0.00631334156810563,2.06115362243856e-09,0.011370813981717,2.06115362243856e-09,0.00538593991930026,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"11",4384,-83.5097046547727,171.019409309545,171.05954308881,1,0.000443137214455668,0.000649779177974641,1,2,NA,NA,NA,-72.465686106864,160.931372213728,161.42283979052,2,0.000393993594212427,0.0141624623376766,2.06115362243856e-09,0.00540992364217283,2.06115362243856e-09,0.0107257748806247,2.06115362243856e-09,0.00490026903051819,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"12",5042,-82.0621923044415,168.124384608883,168.164518388147,1,0.000377470893048752,0.000595323031906843,1,2,NA,NA,NA,-70.6053725671243,157.210745134249,157.70221271104,2,0.000330710656686263,0.0119824237327359,2.06115362243856e-09,0.00618714701415348,2.06115362243856e-09,0.0106713646312587,2.06115362243856e-09,0.00580396378976509,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"13",5097,-82.4685785635141,168.937157127028,168.977290906292,1,0.00137555657291879,0.000354804189508537,1,2,NA,NA,NA,-71.3847725301127,158.769545060225,159.261012637017,2,0.000416173505281238,0.0114747405212728,2.06115362243856e-09,0.00712251009053335,2.06115362243856e-09,0.011695887784168,2.06115362243856e-09,0.0050400272252239,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"14",5143,-81.331688026887,166.663376053774,166.703509833038,1,0.000531929507478928,0.000730472710020112,1,2,NA,NA,NA,-70.3796200844773,156.759240168955,157.250707745746,2,0.0318165603037367,0.0070115705825285,2.06115362243856e-09,0.00069184884987799,0.000307364450423874,2.06115362243856e-09,2.06115362243856e-09,0.0046130703707131,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"15",5220,-81.85451636314,167.70903272628,167.749166505544,1,0.00131236463600413,0.000301716045435215,1,2,NA,NA,NA,-72.2493011100067,160.498602220013,160.990069796805,2,0.0334886837237404,0.00538466766004883,2.06115362243856e-09,0.000604445337032375,0.00022440324461656,2.06115362243856e-09,2.06115362243856e-09,0.00345761289371418,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"16",5434,-84.2706687632428,172.541337526486,172.58147130575,1,0.000375454661127249,0.000631273846606871,1,2,NA,NA,NA,-72.9992282887981,161.998456577596,162.489924154388,2,0.000327050224935619,0.012033460167997,2.06115362243856e-09,0.00614942679690018,2.06115362243856e-09,0.0117028637930355,2.06115362243856e-09,0.00533173823717995,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"17",5488,-83.1132899233352,170.22657984667,170.266713625935,1,0.000415742503240667,0.000706505441625523,1,2,NA,NA,NA,-71.8560765325697,159.712153065139,160.203620641931,2,0.0269127342576825,0.00579616617338616,2.06115362243856e-09,0.000547219016465102,0.000300244667867392,2.06115362243856e-09,2.06115362243856e-09,0.00453616567469784,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"18",5568,-83.4724273952195,170.944854790439,170.984988569703,1,0.000461224076130997,0.000615189359666102,1,2,NA,NA,NA,-72.8520250004413,161.704050000883,162.195517577674,2,0.000394883046974352,0.011927890848186,2.06115362243856e-09,0.00577576985136867,2.06115362243856e-09,0.0103925437256179,2.06115362243856e-09,0.005258909426278,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"19",6492,-81.8892856806182,167.778571361236,167.818705140501,1,0.00124042740992224,0.000340817091508697,1,2,NA,NA,NA,-70.5204879600241,157.040975920048,157.53244349684,2,0.000378230007364974,0.0116387469697573,2.06115362243856e-09,0.0066760554198494,2.06115362243856e-09,0.0104832119693144,2.06115362243856e-09,0.00563127753353081,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"20",7158,-82.5238556064584,169.047711212917,169.087844992181,1,0.00043216397642955,0.000664595632576435,1,2,NA,NA,NA,-71.8654627216276,159.730925443255,160.222393020047,2,0.000382824592508885,0.0125901074963141,2.06115362243856e-09,0.00627783076070994,2.06115362243856e-09,0.0114195712589539,2.06115362243856e-09,0.00595110224929978,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"21",7434,-82.3049970243575,168.609994048715,168.650127827979,1,0.000366162448388327,0.00069808364137826,1,2,NA,NA,NA,-71.6443719941402,159.28874398828,159.780211565072,2,2.06115362243856e-09,0.00692586620059442,2.06115362243856e-09,0.00988671257664792,0.000267516554242081,0.00204079821484546,2.06115362243856e-09,0.00445212307173554,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"22",7438,-82.2388310316087,168.477662063217,168.517795842482,1,0.000394418860363428,0.000620765998003746,1,2,NA,NA,NA,-71.9467392522505,159.893478504501,160.384946081293,2,0.000349100530624665,0.0117107383471529,2.06115362243856e-09,0.00565532650314046,2.06195429969644e-09,0.01038878657249,2.06115362243856e-09,0.00480158833748246,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"23",7830,-82.3260768811593,168.652153762319,168.692287541583,1,0.000473343948925242,0.000698115697661927,1,2,NA,NA,NA,-71.6250114282968,159.250022856594,159.741490433385,2,0.000396560218466213,0.0154248114466548,2.06115362243856e-09,0.00547489430575789,2.06115362243856e-09,0.0119723806071499,2.06115362243856e-09,0.00742201633094971,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"24",7928,-82.6814401486858,169.362880297372,169.403014076636,1,0.00044596875892684,0.000686179842178359,1,2,NA,NA,NA,-71.6603508055112,159.320701611022,159.812169187814,2,0.0298238142355815,0.00611548122288328,2.06115362243856e-09,0.000572567691262831,0.000352215497524315,2.06115362243856e-09,2.06115362243856e-09,0.00445923818863134,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"25",8222,-82.9422999193348,169.88459983867,169.924733617934,1,0.000500150018612555,0.000700504826741208,1,2,NA,NA,NA,-72.0792113706276,160.158422741255,160.649890318047,2,0.000411668399395417,0.0133274130451996,2.06115362243856e-09,0.0057241471236817,2.06115362243856e-09,0.0106937760585563,2.06115362243856e-09,0.00583252014727828,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
