"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",153,-81.6734344673587,167.346868934717,167.387002713982,1,0.00124783465233744,0.000259165476815493,1,2,NA,NA,NA,-72.271833596206,160.543667192412,161.035134769204,2,2.06115362243856e-09,2.15494932659925,2.06115362243856e-09,0.00258147174458107,2.06115362243856e-09,0.33306762202694,0.00109279399572262,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",244,-80.1354408008745,164.270881601749,164.311015381013,1,0.0013109206344909,0.000267519438776916,1,2,NA,NA,NA,-73.4199463696736,162.839892739347,163.331360316139,2,2.06115362243856e-09,0.0168400926222984,2.06115362243856e-09,0.00728797372855773,0.000399697620692374,0.00951588750059194,0.00132983657090666,0.00730012233144898,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1165,-80.5535782701168,165.107156540234,165.147290319498,1,0.0014139373748751,0.000277958188859149,1,2,NA,NA,NA,-71.7376217963139,159.475243592628,159.96671116942,2,2.06115362243856e-09,2.37589277786256,2.06115362243856e-09,0.00254032449426721,2.06115362243856e-09,0.322824953694745,0.00140463463461236,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1193,-79.7432942341339,163.486588468268,163.526722247532,1,0.00144825269178576,0.000259993923858284,1,2,NA,NA,NA,-74.003364703359,164.006729406718,164.49819698351,2,0.000559390160806181,0.0180439066940866,2.06115362243856e-09,0.00336227183179012,2.06115362243856e-09,0.0066639967439161,2.06115362243856e-09,0.00761530353171603,1,2,3,4,5,6,7,8,NA,NA,NA,"1Rate"
"5",1423,-81.7579419330327,167.515883866065,167.55601764533,1,0.00135292842321447,0.000287623953211007,1,2,NA,NA,NA,-72.8724408988429,161.744881797686,162.236349374478,2,2.06115362243856e-09,0.0200863686613784,2.06115362243856e-09,0.00392110309934623,2.06115362243856e-09,0.00830526385905012,0.00134378118329083,0.00994979730651589,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",1770,-80.3645792537016,164.729158507403,164.769292286667,1,0.00134315159127054,0.000272428188917114,1,2,NA,NA,NA,-73.0889832117505,162.177966423501,162.669434000293,2,0.000498362362318189,0.0151294454518127,2.06115362243856e-09,0.00556238120243171,0.000164566426166901,0.00939877125686199,2.06115362243856e-09,0.00842663846307553,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2206,-80.434687748848,164.869375497696,164.90950927696,1,0.00140520469094078,0.000268626059050279,1,2,NA,NA,NA,-73.064109436562,162.128218873124,162.619686449916,2,0.000535820861382523,0.0189102812722126,2.06120408055982e-09,0.00473057553759787,2.06115362243856e-09,0.00948447225095307,2.06115362243856e-09,0.0104502716994092,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",2451,-80.3232297698174,164.646459539635,164.686593318899,1,0.00135887359069614,0.000287994608672499,1,2,NA,NA,NA,-72.7124889273883,161.424977854777,161.916445431568,2,2.06115362243856e-09,2.28883615875002,2.06115362243856e-09,0.00251774389840824,2.06115362243856e-09,0.325904324908915,0.00137015856452777,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",2635,-80.756255452355,165.51251090471,165.552644683974,1,0.00142346843095008,0.000247786972382399,1,2,NA,NA,NA,-74.3083131160902,164.61662623218,165.108093808972,2,0.000510071517652126,0.0158662439139163,2.06115362243856e-09,0.00460518518128508,2.06115362243856e-09,0.00878200394838878,2.06115362243856e-09,0.00803561093908177,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",3493,-79.4605562011165,162.921112402233,162.961246181497,1,0.00105320734387731,0.000233006483298695,1,2,NA,NA,NA,-73.3838147383785,162.767629476757,163.259097053549,2,2.06115362243856e-09,0.0129206690676694,2.06115362243856e-09,0.00453940178380543,0.000319815461241585,0.00568900955165306,0.00107978639529071,0.00478228345638218,1,2,3,4,5,6,7,8,NA,NA,NA,"1Rate"
"11",3602,-80.1134960167429,164.226992033486,164.26712581275,1,0.00132690308199724,0.000260073510397334,1,2,NA,NA,NA,-73.2389803616449,162.47796072329,162.969428300082,2,0.000499159695440852,0.0181421634296292,2.06115362243856e-09,0.00568495346395404,0.000183186821164142,0.0077978026369853,2.06115362243856e-09,0.00711831285379907,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"12",3699,-79.0437535288855,162.087507057771,162.127640837035,1,0.00163458686877253,0.000268795803144098,1,2,NA,NA,NA,-72.3741210127727,160.748242025545,161.239709602337,2,0.000594133638389251,0.0187017422428322,2.06115362243856e-09,0.00353925617531188,2.06115362243856e-09,0.00775369571983164,2.06115362243856e-09,0.0084496506004643,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"13",3715,-79.8150906296381,163.630181259276,163.67031503854,1,0.00130406458516787,0.000291978197196422,1,2,NA,NA,NA,-71.6712020491753,159.342404098351,159.833871675142,2,0.000508136615896623,0.0185198106462915,2.06115362243856e-09,0.00515938170563918,6.70429337521662e-05,0.00978907461229821,2.06115362243856e-09,0.0116619226225788,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"14",4229,-81.5893410910247,167.178682182049,167.218815961314,1,0.00145667672174292,0.000267366726447399,1,2,NA,NA,NA,-73.2402767398127,162.480553479625,162.972021056417,2,0.00506617609599861,0.0123073904903628,2.06115362243856e-09,0.00208839809634049,0.00042233658318642,2.06115362243856e-09,2.06115362243856e-09,0.00477744775380763,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
