"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",228,-79.7569703875383,163.513940775077,163.554074554341,1,0.00144210643054601,0.000168333040109901,1,2,NA,NA,NA,-70.9229963112034,157.845992622407,158.337460199199,2,0.000483048989266202,0.0149159255625744,2.06115362243856e-09,0.00324987683530619,0.00772383592655051,0.0064556608277426,2.06115362243856e-09,0.00038935666850918,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",364,-78.8413624596127,161.682724919225,161.72285869849,1,0.00155929892370422,0.000170700133519057,1,2,NA,NA,NA,-69.6467720750636,155.293544150127,155.785011726919,2,0.000521341155052559,2.31023266648295,1.60833280410418e-05,0.0023770475851968,2.06115362243856e-09,0.319682765984909,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1260,-80.0649184261797,164.129836852359,164.169970631624,1,0.00167364051387745,0.000171289175033594,1,2,NA,NA,NA,-70.7372582201624,157.474516440325,157.965984017117,2,0.000552942644357823,0.0199615540861089,2.06115362243856e-09,0.00357341758544446,2.06115362243856e-09,0.00831257903701111,2.06115362243856e-09,0.00505231822914704,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1599,-79.5341581476948,163.06831629539,163.108450074654,1,0.00148477137123618,0.00017168456596728,1,2,NA,NA,NA,-70.1492634927896,156.298526985579,156.789994562371,2,0.000479664653577738,0.0172717714098897,2.06115362243856e-09,0.00424898298917867,2.06115362243856e-09,0.00803580827297462,2.06115362243856e-09,0.00473377403523746,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",2030,-78.4902246989358,160.980449397872,161.020583177136,1,0.00152290648178813,0.000186109282017344,1,2,NA,NA,NA,-69.0996615470243,154.199323094049,154.69079067084,2,0.000506319646686567,0.0176661444332624,2.06115362243856e-09,0.00333482685220048,2.06115362243856e-09,0.0075373506661339,2.06115362243856e-09,0.00533086870435365,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",2701,-79.8835546803582,163.767109360716,163.807243139981,1,0.00153769507940921,0.000168880390061383,1,2,NA,NA,NA,-70.0748253529408,156.149650705882,156.641118282674,2,0.000491829409276475,0.0183924682818064,2.06115362243856e-09,0.00398103611307344,2.06115362243856e-09,0.00874634130549464,2.06115362243856e-09,0.00506309268719269,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2791,-79.4428864940209,162.885772988042,162.925906767306,1,0.00128453653810234,0.000167965349124567,1,2,NA,NA,NA,-68.9291033537319,153.858206707464,154.349674284256,2,0.00044465864522132,0.0174805990791648,2.06115362243856e-09,0.00357185279681147,2.06115362243856e-09,0.00707867048914949,2.06115362243856e-09,0.00400517715986881,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",3637,-79.408896537822,162.817793075644,162.857926854908,1,0.00147084267697082,0.000184575920501075,1,2,NA,NA,NA,-68.5927148852768,153.185429770554,153.676897347345,2,0.000450412933258697,2.12095517733873,2.06115362243856e-09,0.00185291498284182,2.06115362243856e-09,0.328722742454344,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",3914,-79.180384554471,162.360769108942,162.400902888206,1,0.00143839505247499,0.000156060021824161,1,2,NA,NA,NA,-70.0931283217841,156.186256643568,156.67772422036,2,0.000491395192024983,2.1682910022516,2.47261243690215e-05,0.00188486541158642,2.06115362243856e-09,0.292074824371931,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",4199,-79.7963358116312,163.592671623262,163.632805402527,1,0.00149457399310941,0.000161871178844178,1,2,NA,NA,NA,-70.1411639771626,156.282327954325,156.773795531117,2,0.000472679183528245,0.0181155069596635,2.06115362243856e-09,0.00354793509266045,2.06115362243856e-09,0.00802810157175783,2.06115362243856e-09,0.00439222498997096,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"11",4384,-79.0427181473398,162.08543629468,162.125570073944,1,0.00160733385320391,0.000162371294401997,1,2,NA,NA,NA,-69.7550829824991,155.510165964998,156.00163354179,2,0.000540054174410226,2.65050051135168,4.30736181378519e-05,0.00246187560207011,2.06115362243856e-09,0.26300991896495,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"12",5042,-77.8995478810585,159.799095762117,159.839229541381,1,0.00123302304835082,0.000152881230173102,1,2,NA,NA,NA,-68.7186739943793,153.437347988759,153.92881556555,2,0.000423832734242715,0.0161774082461969,2.06115362243856e-09,0.00369454229479607,2.06115362243856e-09,0.00658209959709986,2.06115362243856e-09,0.00334315876576961,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"13",5097,-78.8281841056415,161.656368211283,161.696501990547,1,0.001627242793474,0.000182868731027194,1,2,NA,NA,NA,-70.1265990292539,156.253198058508,156.7446656353,2,0.000529738191746145,0.015960166977485,2.06115362243856e-09,0.00348338812003592,2.06115362243856e-09,0.00738501205392166,2.06115362243856e-09,0.00351531188277025,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"14",5143,-77.2068066685691,158.413613337138,158.453747116402,1,0.00184116016870961,0.000181443040640501,1,2,NA,NA,NA,-69.0086687582763,154.017337516553,154.508805093345,2,0.0663382666844602,0.00701038333427529,2.06115362243856e-09,0.000859608831963402,0.000234633184383374,2.06115362243856e-09,2.06115362243856e-09,0.00486445653908917,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"15",5220,-77.1289904314821,158.257980862964,158.298114642228,1,0.00156453605500559,0.000145929786630643,1,2,NA,NA,NA,-69.6560541498401,155.31210829968,155.803575876472,2,0.000589891334698081,0.0155135502345768,2.06115362243856e-09,0.00388990561938408,2.06115362243856e-09,0.00708290252841502,2.06115362243856e-09,0.00475071916544223,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"16",5434,-79.5763558362527,163.152711672505,163.19284545177,1,0.00130429141265564,0.000169632299880572,1,2,NA,NA,NA,-69.6196723210451,155.23934464209,155.730812218882,2,0.000408533208188122,0.0144290996205883,2.06115362243856e-09,0.00358091976226085,2.06115362243856e-09,0.00706096642081614,2.06115362243856e-09,0.00315738197797371,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"17",5488,-78.6122181377611,161.224436275522,161.264570054786,1,0.00154915476056694,0.000190755748817951,1,2,NA,NA,NA,-70.1010395582168,156.202079116434,156.693546693225,2,0.000523141199200742,0.0140470667811394,2.06115362243856e-09,0.00392155699136011,2.06115362243856e-09,0.00709889269063454,2.06115362243856e-09,0.00430511318461798,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
