"","Tree","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",228,-78.7200952380569,161.440190476114,161.480324255378,1,0.000697784686281356,0.000453893471909975,1,2,NA,NA,NA,-71.2084361600906,158.416872320181,158.908339896973,2,2.06115362243856e-09,0.00790172860515805,2.06115362243856e-09,0.00448357515607358,0.00022752803970798,0.00162025900271652,2.06115362243856e-09,0.00325493169617755,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",364,-78.2250831603983,160.450166320797,160.490300100061,1,0.000770380299828632,0.000479823276995357,1,2,NA,NA,NA,-69.0960569965614,154.192113993123,154.683581569915,2,0.000542263334434645,0.806474967348878,2.06115362243856e-09,0.0020378055995574,2.06115362243856e-09,1.22200411436609,2.08450105005384e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",1260,-77.2573858806766,158.514771761353,158.554905540617,1,0.000831644577228937,0.00047105504442919,1,2,NA,NA,NA,-67.799046707339,151.598093414678,152.08956099147,2,0.000550808229401873,2.281963767176,2.06115362243856e-09,0.00188749453419473,2.06115362243856e-09,0.450512543128728,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",1599,-77.3784099739603,158.756819947921,158.796953727185,1,0.000678191764076279,0.000461477189109804,1,2,NA,NA,NA,-67.7403254993288,151.480650998658,151.972118575449,2,0.000484126010964852,1.98173844712683,2.06115362243856e-09,0.00208347811421081,2.06115362243856e-09,0.478157092935314,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",2030,-77.9627535752987,159.925507150597,159.965640929862,1,0.000722991344900717,0.000508797030211298,1,2,NA,NA,NA,-67.4761126963542,150.952225392708,151.4436929695,2,0.000487541010422573,2.24784760965715,2.06115362243856e-09,0.00162916139364011,2.06115362243856e-09,0.446796636986035,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",2701,-77.6309702280748,159.26194045615,159.302074235414,1,0.000670755648749039,0.00048548260669229,1,2,NA,NA,NA,-68.43014787778,152.86029575556,153.351763332352,2,0.000494147450687162,0.37343590524967,2.06115362243856e-09,0.0021279074982627,2.06120053901668e-09,2.58363861444345,2.06115362243856e-09,97.609186907284,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",2791,-77.61757220481,159.23514440962,159.275278188884,1,0.00059392313529102,0.00043808802163626,1,2,NA,NA,NA,-68.4460178867202,152.89203577344,153.383503350232,2,0.000466375453637174,2.07547835583462,2.06115362243856e-09,0.00180536423308723,2.06115362243856e-09,0.448504746773493,2.06115362243856e-09,99.7633640798612,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",3637,-77.0749096833922,158.149819366784,158.189953146049,1,0.0006509721067855,0.000525769641433913,1,2,NA,NA,NA,-68.0392371787471,152.078474357494,152.569941934286,2,0.000479430032751201,0.0151891217541981,2.06115362243856e-09,0.00398492283121006,2.06115362243856e-09,0.0104662219083063,2.06115362243856e-09,0.00650409499728013,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"9",3914,-79.0172966570907,162.034593314181,162.074727093446,1,0.000580985137775476,0.000452150716410709,1,2,NA,NA,NA,-70.0967823818633,156.193564763727,156.685032340519,2,0.000506536427247923,0.0705146738224664,2.06115362243856e-09,0.0024341189657963,2.06115362243856e-09,14.2934676810099,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",4199,-79.3259986283261,162.651997256652,162.692131035917,1,0.000719038263650155,0.000475012603761517,1,2,NA,NA,NA,-69.2301500979203,154.460300195841,154.951767772632,2,0.000476629887666525,64.3538131591009,2.06115362243856e-09,0.00173781185813681,2.06115362243856e-09,0.0243597647252122,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"11",4384,-77.1657736780824,158.331547356165,158.371681135429,1,0.000718259488388363,0.000477999360609401,1,2,NA,NA,NA,-68.3477405906105,152.695481181221,153.186948758013,2,0.000534546593064997,2.07584796928336,2.06115362243856e-09,0.00180027189985939,2.06115362243856e-09,0.47072636359145,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"12",5042,-77.7501074243942,159.500214848788,159.540348628053,1,0.000601150668926798,0.0004097117220466,1,2,NA,NA,NA,-68.9412841717653,153.882568343531,154.374035920322,2,0.000464970243677075,0.0187058195985596,2.06115362243856e-09,0.00422672028130798,2.06115362243856e-09,0.0134999288270661,2.06115362243856e-09,0.00847077518459942,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"13",5097,-78.7504508593145,161.500901718629,161.541035497893,1,0.000775568816555723,0.000520382154490992,1,2,NA,NA,NA,-69.685992381474,155.371984762948,155.86345233974,2,0.000555467551498372,0.0149358439369341,2.06115362243856e-09,0.00494723255767271,2.06115362243856e-09,0.0133301509545554,2.06115362243856e-09,0.00645870615321605,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"14",5143,-76.644797078491,157.289594156982,157.329727936246,1,0.000799826934425372,0.000548100229366051,1,2,NA,NA,NA,-68.5343628373347,153.068725674669,153.560193251461,2,0.0630791620699789,0.00934308414511653,2.06115362243856e-09,0.000865074982744969,0.000269337103744156,2.06115362243856e-09,2.06115362243856e-09,0.00381223029754354,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"15",5220,-77.6685230959414,159.337046191883,159.377179971147,1,0.000722672100231127,0.000431843127794386,1,2,NA,NA,NA,-69.6055717126167,155.211143425233,155.702611002025,2,0.000564863511009866,0.07753310909888,2.06115362243856e-09,0.00198326335703581,2.06115362243856e-09,0.022987454201156,2.06115362243856e-09,0.123778698733432,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"16",5434,-78.230071096359,160.460142192718,160.500275971982,1,0.000637945174767942,0.00044021970809333,1,2,NA,NA,NA,-68.4166193674529,152.833238734906,153.324706311698,2,0.000441107135873932,6.34491521530372,2.06115362243856e-09,0.00190566215401235,2.06115362243856e-09,0.154934144880204,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"17",5488,-77.5452134304329,159.090426860866,159.13056064013,1,0.000689767704805157,0.000532976916588553,1,2,NA,NA,NA,-68.7425408154563,153.485081630913,153.976549207704,2,0.0481881276328956,0.00744209976996798,2.06117129626971e-09,0.000706926684145347,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00326933147238333,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"18",5568,-77.8333718057771,159.666743611554,159.706877390818,1,0.00067048562207905,0.000461212654550692,1,2,NA,NA,NA,-70.072893341819,156.145786683638,156.63725426043,2,2.06115362243856e-09,0.00786536529198842,2.06115362243856e-09,0.00364768877910837,2.83538139815391e-05,0.00141593522799837,2.06115362243856e-09,0.00292854744048394,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"19",6492,-77.3015462386212,158.603092477242,158.643226256507,1,0.000704873370334265,0.000474069854289804,1,2,NA,NA,NA,-68.5656456232837,153.131291246567,153.622758823359,2,0.000501164382496229,47.6194877548518,2.06115362243856e-09,0.00188517300978644,2.06115362243856e-09,0.0277799002070337,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"20",7158,-77.3634938906591,158.726987781318,158.767121560582,1,0.000711201006228094,0.000478624032457745,1,2,NA,NA,NA,-68.7196224475578,153.439244895116,153.930712471907,2,0.00051093394857109,1.71761326164959,2.06115362243856e-09,0.00194536883678913,2.06115362243856e-09,0.555206783545374,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"21",7434,-77.7184398089888,159.436879617978,159.477013397242,1,0.000592693775329371,0.000513698104938765,1,2,NA,NA,NA,-69.7722136599852,155.54442731997,156.035894896762,2,0.0405943503277947,0.00840051116579545,2.06115362243856e-09,0.000615978344942635,0.000148738697874597,2.06115362243856e-09,2.06115362243856e-09,0.00329455964677848,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"22",7438,-79.0274280222993,162.054856044599,162.094989823863,1,0.000644914517209018,0.000444462778166842,1,2,NA,NA,NA,-70.1450318214224,156.290063642845,156.781531219637,2,0.000476201265732119,0.0144038343355812,2.06115362243856e-09,0.00459316449806502,2.06115362243856e-09,0.0103484550824252,2.06115362243856e-09,0.00557676072344574,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"23",7830,-77.9597827801192,159.919565560238,159.959699339503,1,0.000735375309955827,0.000495113638985009,1,2,NA,NA,NA,-68.1746524917209,152.349304983442,152.840772560234,2,0.00051236449795085,43.5724144356297,2.06115362243856e-09,0.00176232694992763,2.06115362243856e-09,0.031292668903205,2.06115362243856e-09,100,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
