Class,Order,Family,Genus,Species,"Number, etc.",nuSSU,nuLSU,RPB1,RPB2,mtSSU,TEF1a,edited_name
Lecanoromycetes,Ostropales,Coeonogoniaceae,Coenogonium,luteum,Ryan 31430 (ASU); (AFTOL-ID 352),,AF279387,,AY641038,AY584699,,Coenogonium_luteum
Lecanoromycetes,Ostropales,Graphidaceae,Diploschistes,cinereocaesius,"Lutzoni, Miadlikowska & Lücking 03.23.03-24 (DUKE) (AFTOL-ID 328)",DQ883790,DQ883799,DQ883742,DQ883755,DQ912306,DQ883774,Diploschistes_cinereocaesius
Lecanoromycetes,Ostropales,Graphidaceae,Diploschistes,ocellatus,"2.6.2003, Lumbsch (F)?",NG_013126,AY605077,DQ366252,DQ366253,,DQ366251,Diploschistes_ocellatus
Lecanoromycetes,Ostropales,Graphidaceae,Diploschistes,actinostomus,Lumbsch 3089,,KF688496,KF688530,KF688546,KF688510,,Diploschistes_actinostomus
Lecanoromycetes,Ostropales,Graphidaceae,Acanthotrema,sp.,Mercado 290,,,KF688526,KF688542,KF688506,,Acanthotrema_sp
Lecanoromycetes,Ostropales,Graphidaceae,Fissurina,insidiosa,Lendemer 4793 (DUKE) (AFTOL-ID 1662),DQ973022,DQ973045,,DQ973083,DQ972995,,Fissurina_insidiosa
Lecanoromycetes,Ostropales,Graphidaceae,Myriotrema,pycnoporellum,Luecking 26545(F),,HQ639658,KC020299,KC020277,HQ639584,,Myriotrema_pycnoporellum
Lecanoromycetes,Ostropales,Graphidaceae,Phaeographis,intricans,Kalb 38864,,JX421602,,JX420924,JX421254,,Phaeographis_intricans
Lecanoromycetes,Ostropales,Graphidaceae,Thelotrema,lepadinum,(AFTOL-ID 83); Printzen 5745 (HB Printzen),,AY300866,DQ973067,DQ973085,DQ972997,,Thelotrema_lepadinum
Lecanoromycetes,Ostropales,Gyalectaceae,Gyalecta,ulmi,Scheidegger 30.05.1998 (DUKE) (AFTOL-ID 362),AF465464,AF465463,,AY641044,AY584706,,Gyalecta_ulmi
Lecanoromycetes,Ostropales,Odontrotremataceae,Odontotrema,phacidioides,Palice 11440 (S),,HM244770,,HM244803,HM244749,,Odontotrema_phacidioides
Lecanoromycetes,Ostropales,Phlyctidaceae,Phlyctis,agelaea,Nordin 3028 (UPS),,AY853381,,,AY853332,,Phlyctis_agelaea
Lecanoromycetes,Ostropales,Phlyctidaceae,Phlyctis,argena,(AFTOL-ID 1375),,DQ986771,,DQ992458,DQ986880,,Phlyctis_argena
Lecanoromycetes,Ostropales,Phlyctidaceae,Phlyctis,brasiliensis,,xxxx,xxxx,,,xxxx,,Phlyctis_brasiliensis
Lecanoromycetes,Ostropales,Sagiolechiaceae,Sagiolechia,protuberans,Nordin 5893 (UPS),,HM244775,,HM244812,HM244757,,Sagiolechia_protuberans
Lecanoromycetes,Ostropales,Stictidaceae,Stictis,radiata,"Malloch (pers. Collection); Platt 222 (OSC, DUKE); Palice (ESS 21520)",U20610,AF356663,,AY641079,AY300914,,Stictis_radiata
Lecanoromycetes,Peltigerales,Lobariaceae,Lobaria,scrobiculata,Miadlikowska 1.1 LOSC (DUKE) (AFTOL-ID 128),AY584679,AY584655,DQ883736,DQ883749,AY584621,DQ883768,Lobaria_scrobiculata
