Species,Divison.or.Deep.Rank,Class.or.Higher.Level,Order,Family,Genus,X18S,rbcL,atpA,atpB,psaA,psaB,X,X.1,X.2,lichen.clade,TaxToUse
Cyanidioschyzon_merolae_strain_10D,Rhodophyta,Rhodophyta,Cyanidiales,Cyanidiaceae,Cyanidioschyzon,AB158485,NC_004799,NC_004799,NC_004799,NC_004799,NC_004799,,,,0,Rhodophyta
Cyanidium_caldarium,Rhodophyta,Rhodophyta,Cyanidiales,Cyanidiaceae,Cyanidium,AB090833,NC_001840,NC_001840,NC_001840,NC_001840,NC_001840,,,,0,Rhodophyta
Gracilaria_tenuistipitata_var_liui,Rhodophyta,Rhodophyta,Gracilariales,Gracilariaceae,Gracilaria,DQ316995,NC_006137,NC_006137,NC_006137,NC_006137,NC_006137,,,,0,Rhodophyta
Ipomoea_spp,Streptophyta,Tracheophytes,Solanales,Convolvulaceae,Ipomoea,HM053486,NC_009808,NC_009808,NC_009808,NC_009808,NC_009808,,,,0,Tracheophytes
Chara_vulgaris,Streptophyta,Charophyceae,Charales,Characeae,Chara,AF032747,NC_008097,NC_008097,NC_008097,NC_008097,NC_008097,,,unclear if 18s from same isolate,0,Charophyceae
Chlorokybus_atmophyticus,Streptophyta,Chlorokybophyceae,Chlorokybales,Chlorokybaceae,Chlorokybus,M95612,NC_008822,NC_008822,NC_008822,NC_008822,NC_008822,,,,0,Chlorokybophyceae
Chaetosphaeridium_globosum,Streptophyta,Coleochaetophyceae,Coleochaetales,Chaetosphaeridiaceae,Chaetosphaeridium,AJ250110,NC_004115,NC_004115,NC_004115,NC_004115,NC_004115,,,,0,Coleochaetophyceae
Cycas_taitungensis,Streptophyta,Tracheophytes,Cycadales,Cycadaceae,Cycas,D85297,NC_009618,NC_009618,NC_009618,NC_009618,NC_009618,,,,0,Tracheophytes
Populus_trichocarpa,Streptophyta,Tracheophytes,Malpighiales,Salicaceae,Populus,AY652861,NC_009143,NC_009143,NC_009143,NC_009143,NC_009143,,,,0,Tracheophytes
Ginkgo_biloba,Streptophyta,Tracheophytes,Ginkgoales,Ginkgoaceae,Ginkgo,D16448,NC_016986,NC_016986,NC_016986,NC_016986,NC_016986,,,,0,Tracheophytes
Klebsormidium_flaccidum,Streptophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium,AF408240,NC_024167,NC_024167,NC_024167,NC_024167,NC_024167,SAG 121.8,,unclear if 18s from same isolate,0,Klebsormidiophyceae
Ptilidium_pulcherrimum,Streptophyta,Marchantiophyta,Ptilidiales,Ptilidiaceae,Ptilidium,DQ629369,NC_015402,NC_015402,NC_015402,NC_015402,NC_015402,,,,0,Marchantiophyta
Mesostigma_viride,Streptophyta,Mesostigmatophyceae,Mesostigmatales,Mesostigmataceae,Mesostigma,AJ250108,NC_002186,NC_002186,NC_002186,NC_002186,NC_002186,,,,0,Mesostigmatophyceae
Nymphaea_spp,Streptophyta,Tracheophytes,Nymphaeales,Nymphaeaceae,Nymphaea,L24404,NC_006050,NC_006050,NC_006050,NC_006050,NC_006050,,,,0,Tracheophytes
Larix_decidua,Streptophyta,Tracheophytes,Pinales,Pinaceae,Larix,AB026938,NC_016058,NC_016058,NC_016058,NC_016058,NC_016058,,,,0,Tracheophytes
Mesotaenium_endlicherianum,Streptophyta,Zygnemophyceae,Zygnematales,Mesotaeniaceae,Mesotaenium,AJ428078,NC_024169,NC_024169,NC_024169,NC_024169,NC_024169,SAG 12.97,,,0,Zygnemophyceae
Zygnema_spp,Streptophyta,Zygnemophyceae,Zygnematales,Zygnemataceae,Zygnema,AJ853451,NC_008117,NC_008117,NC_008117,NC_008117,NC_008117,,,,0,Zygnemophyceae
