edited_name,lichen
Pyrenula_cruenta,1
Pyrenula_pseudobufonia,1
Pyrgillus_javanicus,1
Pyxine_subcinerea,1
Racodium_rupestre,1
Ramichloridium_anceps,0
Ramularia_endophylla,0
Rasutoria_tsugae,0
Rhexophiale_rhexoblephara,1
Rhytidhysteron_rufulum,0
Roccellographa_cretacea,1
Roumegueriella_rufula,0
Roussoella_hysterioides,0
Roussoella_pustulans,0
Rufoplaca_scotoplaca,1
Rutstroemia_firma,0
Saccharomyces_cerevisiae,0
Saccobolus_dilutellus,0
Sagiolechia_protuberans,1
Salsuginea_ramicola,0
Sarcosagium_campestre,1
Sarcoscypha_coccinea,0
Schizosaccharomyces_pombe,0
Schizothyrium_pomi,0
Sclerophora_farinacea,1
Scutellinia_scutellata,0
Selenophoma_australiensis,0
Sipmaniella_sulphureofusca,1
Solorina_saccata,1
Sphaerostilbella_berkeleyana,0
Sphinctrina_turbinata,0
Squamarina_cartilaginea,1
Staurothele_frustulenta,1
Steinia_geophana,1
Stereocaulon_paschale,1
Sticta_beauvoisii,1
Strigula_jamesii,1
Strigula_nemathora,1
Taphrina_deformans,0
Teloschistes_exilis,1
Thaxteriellopsis_lignicola,0
Thelebolus_globosus,0
Thelenella_antarctica,1
Thelocarpon_impressellum,1
Thelocarpon_laureri,1
Thelocarpon_lichenicola,1
Thelotrema_lepadinum,1
Togninia_minima,0
Torpedospora_radiata,0
Trapelia_placodioides,1
Trichodelitschia_bisporula,0
Trichoglossum_hirsutum,0
Tryblidiopsis_pinastri,0
Tubeufia_cerea,0
Tyrannosorus_pinicola,0
Ulospora_bilgramii,0
Uwebraunia_commune,0
Venturia_inaequalis,0
Verpa_conica,0
Verticillium_dahliae,0
Vezdaea_cobria,1
Vibrissea_truncorum,0
Xalocoa_ocellata,1
Xanthoria_polycarpa,1
Xylaria_hypoxylon,0
Xylona_heveae,0
Yarrowia_lipolytica,0
Zygoascus_steatolyticus,0
