edited_name,lichen,Class,Order,Family,Genus,Species
Peltula_umbilicata,1,Lichinomycetes,Lichinales,Peltulaceae,Peltula,umbilicata
Pertusaria_dactylina,1,Lecanoromycetes,Pertusariales,Pertusariaceae,Pertusaria,dactylina
Pertusaria_pertusa,1,Lecanoromycetes,Agyriales,Pertusariaceae,Pertusaria,pertusa
Petriella_setifera,0,Sordariomycetes,Microascales,Microascaceae,Petriella,setifera
Phacidium_lacerum,0,Leotiomycetes,,,Phacidium,lacerum
Phaeococcomycetaceae_sp_TRN456,0,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Dothideomycetes,sp TNR456
Phaeographis_intricans,1,Lecanoromycetes,Ostropales,Graphidaceae,Phaeographis,intricans
Phaeophyscia_orbicularis,1,Lecanoromycetes,Caliciales,Physciaceae,Phaeophyscia,orbicularis
Phaeotrichum_benjaminii,0,Dothideomycetes,Phaeotrichales,Phaeotrichaceae,Phaeotrichum,benjaminii
Phlyctis_argena,1,Lecanoromycetes,Ostropales,Phlyctidaceae,Phlyctis,argena
Phlyctis_brasiliensis,1,Lecanoromycetes,Ostropales,Phlyctidaceae,Phlyctis,brasiliensis
Phyllobaeis_erythrella,1,Lecanoromycetes,Baeomycetales,Baeomycetaceae,Phyllobaeis,erythrella
Piedraia_hortae,0,Dothideomycetes,Capnodiales,Piedraiaceae,Piedraia,hortae
Pleopsidium_chlorophanum,1,Lecanoromycetes,Acarosporales,Acarosporaceae,Pleopsidium,chlorophanum
Plicaria_leiocarpa,0,Pezizomycetes,,,Plicaria,leiocarpa
Pneumocystis_carinii,0,Taphrinomycotina,Pneumocystidales,Pneumocystidaceae,Pneumocystis,carinii
Preussia_terricola,0,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,terricola
Protoblastenia_calva,1,Lecanoromycetes,Lecanorales,Psoraceae,Protoblastenia,calva
Pseudeurotium_zonatum,0,Leotiomycetes,Incertae sedis,Pseudoeurotiaceae,Pseudoeurotium,zonatum
Pseudocyphellaria_anomala,1,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,anomala
Psora_decipiens,1,Lecanoromycetes,Lecanorales,Psoraceae,Psora,decipiens
Pycnothelia_papillaria,1,Lecanoromycetes,Lecanorales,Cladoniaceae,Pycnothelia,papillare
Pyrenula_cruenta,1,Eurotiomycetes,Pyrenulales,Pyrenulaceae,Pyrenula,cruenta
Pyrenula_pseudobufonia,1,Eurotiomycetes,Pyrenulales,Pyrenulaceae,Pyrenula,pseudobufonia
Pyrgillus_javanicus,1,Eurotiomycetes,Pyrenulales,Pyrenulaceae,Pyrgillus,javanicus
Pyxine_subcinerea,1,Lecanoromycetes,Caliciales,Caliciaceae,Pyxine,subcinerea
Racodium_rupestre,1,Dothideomycetes,Capnodiales,Incertae Sedis,Racodium,rupestre 2
Ramichloridium_anceps,0,Eurotiomycetes,Chaetothyriales,Dissoconiaceae,Ramichloridium,anceps
Ramularia_endophylla,0,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,punctiformis
Rasutoria_tsugae,0,Dothideomycetes,Capnodiales,Euantennariaceae,Rasutoria,tsugae
Rhexophiale_rhexoblephara,1,Lecanoromycetes,Ostropales,Sagiolechiaceae,Rhexophiale,rhexoblephara
Rhytidhysteron_rufulum,0,Dothideomycetes,Patelleriales,Patellariaceae,Rhytidhysteron,rufulum
Roccellographa_cretacea,1,Arthoniomycetes,Arthoniales,Roccellographaceae,Roccellographa,cretacea
Roumegueriella_rufula,0,Sordariomycetes,Hypocreales,Bionectriaceae,Roumegueriella,rufula
Roussoella_hysterioides,0,Dothideomycetes,Pleosporales,Massariaceae,Roussoella,hysterioides
Roussoella_pustulans,0,Dothideomycetes,Pleosporales,Massariaceae,Roussoella,pustulans
Rufoplaca_scotoplaca,1,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,scotoplaca
Rutstroemia_firma,0,Leotiomycetes,,,Rutstroemia,firma
Saccharomyces_cerevisiae,0,Saccharomycotina,Saccharomycetales,Saccharomycetaceae,Saccharomyces,cerevisiae
Saccobolus_dilutellus,0,Pezizomycetes,,,Saccobolus,dilutellus
Sagiolechia_protuberans,1,Lecanoromycetes,Ostropales,Sagiolechiaceae,Sagiolechia,protuberans
Salsuginea_ramicola,0,Dothideomycetes,Pleosporales,Salsugineaceae,Salsuginea,ramicola
Sarcosagium_campestre,1,Sarcosagium,Sarcosagium,Sarcosagium,Sarcosagium,campestre
Sarcoscypha_coccinea,0,Pezizomycetes,,,Sarcoscypha,coccinea
Schizosaccharomyces_pombe,0,Taphrinomycotina,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,pombe
Schizothyrium_pomi,0,Dothideomycetes,Capnodiales,Schizothyriaceae,Schizothyrium,pomi
Sclerophora_farinacea,1,Coniocybomycetes,Coniocybales,Coniocybaceae,Sclerophora,farinacea
Scutellinia_scutellata,0,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,scutellata
Selenophoma_australiensis,0,Dothideomycetes,Dothideales,Incertae Sedis,Selenophoma,australiensis
Sipmaniella_sulphureofusca,1,Lecanoromycetes,Teloschistales,Megalosporaceae,Sipmaniella,sulphureofusca
Solorina_saccata,1,Lecanoromycetes,Peltigerales,Peltigeraceae,Solorina,saccata
Sphaerostilbella_berkeleyana,0,Sordariomycetes,Hypocreales,Hypocreaceae,Sphaerostilbella,berkeleyana
