"","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"1",-81.2323975383019,166.464795076604,166.504928855868,1,0.000587171544670318,0.000632301085693166,1,2,NA,NA,NA,-71.5760040810118,159.152008162024,159.643475738816,2,2.06115362243856e-09,0.00656413833766594,2.06115362243856e-09,0.00592789154243668,2.06115362243856e-09,0.0017757840931247,2.06115362243856e-09,0.00351800708921986,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"2",-81.0584398300031,166.116879660006,166.15701343927,1,0.000708044032769284,0.000609237531494676,1,2,NA,NA,NA,-72.3406914811291,160.681382962258,161.17285053905,2,2.06115362243856e-09,0.00841310923740871,2.06115362243856e-09,0.00514582742237157,0.000328191086376291,0.00197506242524844,2.06115362243856e-09,0.00453608898313134,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"3",-84.9297451542429,173.859490308486,173.89962408775,1,0.00105501975048951,0.000495711776485986,1,2,NA,NA,NA,-75.6742656065722,167.348531213144,167.839998789936,2,0.0041496918413003,0.0067357899994421,2.06115362243856e-09,0.00203082752186318,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00313657043967252,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"4",-78.1600488187194,160.320097637439,160.360231416703,1,0.00151615404116693,0.000175855232527552,1,2,NA,NA,NA,-69.3173070792092,154.634614158418,155.12608173521,2,0.000511312847653364,0.0152126638499722,2.06115362243856e-09,0.00347187697549626,2.06115362243856e-09,0.0070372030298985,2.06115362243856e-09,0.00358457357871608,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"5",-83.554206060112,171.108412120224,171.148545899488,1,0.00130739742269178,0.000326238940836398,1,2,NA,NA,NA,-76.3260567643103,168.652113528621,169.143581105412,2,0.000496162562015057,0.0110507294076763,2.06115362243856e-09,0.00615676051607856,2.06115362243856e-09,0.00645974958218515,2.06115362243856e-09,0.00341199749285961,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"6",-83.5490184808989,171.098036961798,171.138170741062,1,0.000758275580938904,0.000633319815193096,1,2,NA,NA,NA,-74.0393458507419,164.078691701484,164.570159278276,2,0.0209044103424494,0.00627871503106353,2.06115362243856e-09,0.000967863057431741,0.000153339561762706,2.06115362243856e-09,2.06115362243856e-09,0.00371509089697359,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"7",-82.7082394330487,169.416478866097,169.456612645362,1,0.00103054333162087,0.000439179865169356,1,2,NA,NA,NA,-75.036655411753,166.073310823506,166.564778400298,2,0.00883468121239586,0.00824172574141069,2.06115362243856e-09,0.00219580398132204,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00296516250454191,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"8",-76.6541035950195,157.308207190039,157.348340969303,1,0.00115633774271677,0.000275105372328894,1,2,NA,NA,NA,-71.3916545397713,158.783309079543,159.274776656334,2,2.06115362243856e-09,0.00917940319837458,2.06115362243856e-09,0.00909839799940933,7.69640110634916e-05,0.00812715013045535,0.00187660982744132,0.00264708399676325,1,2,3,4,5,6,7,8,NA,NA,NA,"1Rate"
"9",-82.4751760880183,168.950352176037,168.990485955301,1,0.000517628283975396,0.000663777361587485,1,2,NA,NA,NA,-71.3098491730913,158.619698346183,159.111165922974,2,2.06115362243856e-09,0.00619155597463165,2.06115362243856e-09,0.00746867895333724,0.000120714448086688,0.00189405886073913,2.06115362243856e-09,0.00406081762993778,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"10",-77.270118330596,158.540236661192,158.580370440456,1,0.000713443699998361,0.00047849473130588,1,2,NA,NA,NA,-69.0320028828089,154.064005765618,154.55547334241,2,0.000541020311632375,0.018152309853412,2.06115362243856e-09,0.00420451638390069,2.06115362243856e-09,0.0159215154425404,2.06115362243856e-09,0.0110899484129926,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
